task_id,tokenizer,language,token_count,char_count,category,difficulty
A-CND-0017v20,tokenizer_v03,toke,60,233,A-CND,1
A-CND-0020v70,tokenizer_v03,toke,48,242,A-CND,1
A-CND-0024v9,tokenizer_v03,toke,52,204,A-CND,1
A-CND-0029v44,tokenizer_v03,toke,57,285,A-CND,1
A-CND-0029v48,tokenizer_v03,toke,25,117,A-CND,1
A-CND-0032v49,tokenizer_v03,toke,38,185,A-CND,1
A-CND-0034v67,tokenizer_v03,toke,59,315,A-CND,1
A-CND-0038v23,tokenizer_v03,toke,60,291,A-CND,1
A-CND-0040v16,tokenizer_v03,toke,49,156,A-CND,2
A-CND-0040v83,tokenizer_v03,toke,39,184,A-CND,2
A-CND-0041v48,tokenizer_v03,toke,86,348,A-CND,2
A-CND-0041v66,tokenizer_v03,toke,84,288,A-CND,2
A-CND-0042v25,tokenizer_v03,toke,56,225,A-CND,2
A-CND-0042v37,tokenizer_v03,toke,48,153,A-CND,2
A-CND-0042v41,tokenizer_v03,toke,41,121,A-CND,2
A-CND-0043v16,tokenizer_v03,toke,75,266,A-CND,2
A-CND-0043v45,tokenizer_v03,toke,97,309,A-CND,2
A-CND-0043v48,tokenizer_v03,toke,75,256,A-CND,2
A-CND-0043v72,tokenizer_v03,toke,88,271,A-CND,2
A-CND-0044,tokenizer_v03,toke,46,159,A-CND,2
A-CND-0044v21,tokenizer_v03,toke,100,344,A-CND,2
A-CND-0044v36,tokenizer_v03,toke,101,374,A-CND,2
A-CND-0044v47,tokenizer_v03,toke,71,215,A-CND,2
A-CND-0044v55,tokenizer_v03,toke,88,331,A-CND,2
A-CND-0044v8,tokenizer_v03,toke,84,335,A-CND,2
A-CND-0046v72,tokenizer_v03,toke,59,256,A-CND,2
A-CND-0047v49,tokenizer_v03,toke,102,323,A-CND,2
A-CND-0047v71,tokenizer_v03,toke,73,276,A-CND,2
A-CND-0048v38,tokenizer_v03,toke,82,323,A-CND,2
A-CND-0049v27,tokenizer_v03,toke,60,183,A-CND,2
A-CND-0050v18,tokenizer_v03,toke,138,448,A-CND,3
A-CND-0050v4,tokenizer_v03,toke,176,621,A-CND,3
A-CND-0050v43,tokenizer_v03,toke,145,612,A-CND,3
A-CND-0050v44,tokenizer_v03,toke,74,267,A-CND,3
A-CND-0050v46,tokenizer_v03,toke,81,257,A-CND,3
A-CND-0050v47,tokenizer_v03,toke,153,487,A-CND,3
A-CND-0050v58,tokenizer_v03,toke,150,478,A-CND,3
A-CND-0050v74,tokenizer_v03,toke,217,693,A-CND,3
A-CND-0050v8,tokenizer_v03,toke,74,225,A-CND,3
A-CND-0051v24,tokenizer_v03,toke,74,221,A-CND,3
A-CND-0051v28,tokenizer_v03,toke,57,246,A-CND,3
A-CND-0051v35,tokenizer_v03,toke,128,466,A-CND,3
A-CND-0051v42,tokenizer_v03,toke,54,200,A-CND,3
A-CND-0051v47,tokenizer_v03,toke,43,211,A-CND,3
A-CND-0051v48,tokenizer_v03,toke,135,478,A-CND,3
A-CND-0051v69,tokenizer_v03,toke,102,455,A-CND,3
A-CND-0051v72,tokenizer_v03,toke,104,441,A-CND,3
A-CND-0051v81,tokenizer_v03,toke,79,419,A-CND,3
A-CND-0052v15,tokenizer_v03,toke,69,378,A-CND,3
A-CND-0052v35,tokenizer_v03,toke,81,435,A-CND,3
A-CND-0052v41,tokenizer_v03,toke,95,477,A-CND,3
A-CND-0052v80,tokenizer_v03,toke,83,456,A-CND,3
A-CND-0053v60,tokenizer_v03,toke,57,207,A-CND,2
A-CND-0053v77,tokenizer_v03,toke,64,231,A-CND,2
A-CND-0054v17,tokenizer_v03,toke,63,292,A-CND,3
A-CND-0054v18,tokenizer_v03,toke,54,278,A-CND,3
A-CND-0054v26,tokenizer_v03,toke,54,278,A-CND,3
A-CND-0054v36,tokenizer_v03,toke,120,540,A-CND,3
A-CND-0054v5,tokenizer_v03,toke,105,502,A-CND,3
A-CND-0054v75,tokenizer_v03,toke,62,312,A-CND,3
A-CND-0054v9,tokenizer_v03,toke,51,260,A-CND,3
A-CND-0056v64,tokenizer_v03,toke,57,150,A-CND,1
A-CND-0058v19,tokenizer_v03,toke,57,278,A-CND,1
A-CND-0059v20,tokenizer_v03,toke,83,326,A-CND,1
A-CND-0059v6,tokenizer_v03,toke,104,442,A-CND,1
A-CND-0064v12,tokenizer_v03,toke,71,227,A-CND,2
A-CND-0064v5,tokenizer_v03,toke,88,350,A-CND,2
A-CND-0065v17,tokenizer_v03,toke,80,344,A-CND,2
A-CND-0065v45,tokenizer_v03,toke,60,183,A-CND,2
A-CND-0065v55,tokenizer_v03,toke,75,333,A-CND,2
A-CND-0065v58,tokenizer_v03,toke,80,344,A-CND,2
A-CND-0065v59,tokenizer_v03,toke,55,182,A-CND,2
A-CND-0066v15,tokenizer_v03,toke,69,195,A-CND,2
A-CND-0067v4,tokenizer_v03,toke,38,167,A-CND,2
A-CND-0067v43,tokenizer_v03,toke,36,212,A-CND,2
A-CND-0068v44,tokenizer_v03,toke,78,299,A-CND,2
A-CND-0069v11,tokenizer_v03,toke,78,403,A-CND,2
A-CND-0069v16,tokenizer_v03,toke,45,156,A-CND,2
A-CND-0069v35,tokenizer_v03,toke,80,394,A-CND,2
A-CND-0070v19,tokenizer_v03,toke,88,404,A-CND,1
A-CND-0070v27,tokenizer_v03,toke,100,346,A-CND,1
A-CND-0070v58,tokenizer_v03,toke,70,337,A-CND,1
A-CND-0071v16,tokenizer_v03,toke,21,91,A-CND,1
A-CND-0072v17,tokenizer_v03,toke,63,233,A-CND,2
A-CND-0072v24,tokenizer_v03,toke,124,401,A-CND,2
A-CND-0072v75,tokenizer_v03,toke,67,215,A-CND,2
A-CND-0073v21,tokenizer_v03,toke,30,147,A-CND,1
A-CND-0073v48,tokenizer_v03,toke,72,233,A-CND,1
A-CND-0073v66,tokenizer_v03,toke,39,148,A-CND,1
A-CND-0074v11,tokenizer_v03,toke,49,253,A-CND,2
A-CND-0075v32,tokenizer_v03,toke,52,155,A-CND,2
A-CND-0075v38,tokenizer_v03,toke,131,426,A-CND,2
A-CND-0075v50,tokenizer_v03,toke,128,420,A-CND,2
A-CND-0077v44,tokenizer_v03,toke,107,278,A-CND,2
A-CND-0078v54,tokenizer_v03,toke,126,497,A-CND,2
A-CND-0078v56,tokenizer_v03,toke,32,149,A-CND,2
A-CND-0078v7,tokenizer_v03,toke,34,180,A-CND,2
A-CND-0080v79,tokenizer_v03,toke,61,269,A-CND,1
A-CND-0082v55,tokenizer_v03,toke,52,194,A-CND,1
A-CND-0083v17,tokenizer_v03,toke,19,88,A-CND,1
A-CND-0083v74,tokenizer_v03,toke,58,244,A-CND,1
A-CND-0084v83,tokenizer_v03,toke,27,136,A-CND,1
A-CND-0085v71,tokenizer_v03,toke,43,190,A-CND,1
A-CND-0087v75,tokenizer_v03,toke,61,315,A-CND,1
A-CND-0088v7,tokenizer_v03,toke,64,261,A-CND,1
A-CND-0088v70,tokenizer_v03,toke,23,92,A-CND,1
A-CND-0089v2,tokenizer_v03,toke,48,174,A-CND,2
A-CND-0090v14,tokenizer_v03,toke,34,113,A-CND,1
A-CND-0090v65,tokenizer_v03,toke,71,246,A-CND,1
A-CND-0091v1,tokenizer_v03,toke,53,204,A-CND,2
A-CND-0091v30,tokenizer_v03,toke,43,188,A-CND,2
A-CND-0091v68,tokenizer_v03,toke,34,168,A-CND,2
A-CND-0091v81,tokenizer_v03,toke,74,311,A-CND,2
A-CND-0092v10,tokenizer_v03,toke,52,213,A-CND,2
A-CND-0092v31,tokenizer_v03,toke,43,229,A-CND,2
A-CND-0092v50,tokenizer_v03,toke,66,288,A-CND,2
A-CND-0092v56,tokenizer_v03,toke,66,287,A-CND,2
A-CND-0093v40,tokenizer_v03,toke,40,150,A-CND,2
A-CND-0094v29,tokenizer_v03,toke,45,197,A-CND,2
A-CND-0094v58,tokenizer_v03,toke,15,75,A-CND,2
A-CND-0095v27,tokenizer_v03,toke,30,178,A-CND,2
A-CND-0095v46,tokenizer_v03,toke,62,268,A-CND,2
A-CND-0096v25,tokenizer_v03,toke,39,151,A-CND,2
A-CND-0096v63,tokenizer_v03,toke,36,160,A-CND,2
A-CND-0097v34,tokenizer_v03,toke,26,123,A-CND,2
A-CND-0097v37,tokenizer_v03,toke,29,113,A-CND,2
A-CND-0098v60,tokenizer_v03,toke,117,453,A-CND,2
A-CND-0098v76,tokenizer_v03,toke,95,442,A-CND,2
A-ERR-0003v19,tokenizer_v03,toke,79,332,A-ERR,1
A-ERR-0003v85,tokenizer_v03,toke,59,211,A-ERR,1
A-ERR-0004v57,tokenizer_v03,toke,108,450,A-ERR,1
A-ERR-0005v24,tokenizer_v03,toke,62,256,A-ERR,1
A-ERR-0007v72,tokenizer_v03,toke,83,408,A-ERR,1
A-ERR-0009v55,tokenizer_v03,toke,46,191,A-ERR,1
A-ERR-0009v64,tokenizer_v03,toke,81,355,A-ERR,1
A-ERR-0010v24,tokenizer_v03,toke,81,338,A-ERR,1
A-ERR-0010v25,tokenizer_v03,toke,44,179,A-ERR,1
A-ERR-0011v18,tokenizer_v03,toke,46,185,A-ERR,1
A-ERR-0011v35,tokenizer_v03,toke,64,313,A-ERR,1
A-ERR-0012v52,tokenizer_v03,toke,43,192,A-ERR,1
A-ERR-0013v77,tokenizer_v03,toke,79,377,A-ERR,1
A-ERR-0014v15,tokenizer_v03,toke,75,335,A-ERR,1
A-ERR-0014v55,tokenizer_v03,toke,43,195,A-ERR,1
A-ERR-0015v74,tokenizer_v03,toke,46,192,A-ERR,1
A-ERR-0018v10,tokenizer_v03,toke,66,256,A-ERR,2
A-ERR-0018v29,tokenizer_v03,toke,149,604,A-ERR,2
A-ERR-0018v59,tokenizer_v03,toke,243,791,A-ERR,2
A-ERR-0018v77,tokenizer_v03,toke,112,392,A-ERR,2
A-ERR-0019v37,tokenizer_v03,toke,93,356,A-ERR,2
A-ERR-0020v67,tokenizer_v03,toke,54,228,A-ERR,2
A-ERR-0020v86,tokenizer_v03,toke,55,220,A-ERR,2
A-ERR-0021v48,tokenizer_v03,toke,45,203,A-ERR,2
A-ERR-0022v50,tokenizer_v03,toke,79,351,A-ERR,2
A-ERR-0022v62,tokenizer_v03,toke,79,333,A-ERR,2
A-ERR-0022v65,tokenizer_v03,toke,120,439,A-ERR,2
A-ERR-0023v71,tokenizer_v03,toke,107,382,A-ERR,2
A-ERR-0024v57,tokenizer_v03,toke,162,487,A-ERR,2
A-ERR-0024v63,tokenizer_v03,toke,168,595,A-ERR,2
A-ERR-0025v29,tokenizer_v03,toke,162,644,A-ERR,3
A-ERR-0025v68,tokenizer_v03,toke,155,582,A-ERR,3
A-ERR-0026v83,tokenizer_v03,toke,125,548,A-ERR,3
A-ERR-0028v31,tokenizer_v03,toke,149,597,A-ERR,3
A-ERR-0028v62,tokenizer_v03,toke,123,513,A-ERR,3
A-ERR-0028v76,tokenizer_v03,toke,147,564,A-ERR,3
A-ERR-0030v55,tokenizer_v03,toke,148,548,A-ERR,3
A-ERR-0030v64,tokenizer_v03,toke,178,623,A-ERR,3
A-ERR-0030v83,tokenizer_v03,toke,169,636,A-ERR,3
A-ERR-0031v44,tokenizer_v03,toke,148,583,A-ERR,3
A-ERR-0033v23,tokenizer_v03,toke,112,409,A-ERR,1
A-ERR-0034v81,tokenizer_v03,toke,80,290,A-ERR,1
A-ERR-0036v44,tokenizer_v03,toke,41,229,A-ERR,2
A-ERR-0036v48,tokenizer_v03,toke,86,419,A-ERR,2
A-ERR-0036v76,tokenizer_v03,toke,107,475,A-ERR,2
A-ERR-0038v13,tokenizer_v03,toke,47,230,A-ERR,2
A-ERR-0038v66,tokenizer_v03,toke,47,231,A-ERR,2
A-ERR-0039v39,tokenizer_v03,toke,95,436,A-ERR,2
A-ERR-0039v44,tokenizer_v03,toke,103,479,A-ERR,2
A-ERR-0041v13,tokenizer_v03,toke,52,222,A-ERR,2
A-ERR-0041v27,tokenizer_v03,toke,93,455,A-ERR,2
A-ERR-0041v28,tokenizer_v03,toke,47,225,A-ERR,2
A-ERR-0041v62,tokenizer_v03,toke,47,217,A-ERR,2
A-ERR-0041v7,tokenizer_v03,toke,87,428,A-ERR,2
A-ERR-0041v81,tokenizer_v03,toke,42,222,A-ERR,2
A-ERR-0041v83,tokenizer_v03,toke,72,362,A-ERR,2
A-ERR-0042v25,tokenizer_v03,toke,95,352,A-ERR,2
A-ERR-0042v68,tokenizer_v03,toke,84,342,A-ERR,2
A-ERR-0042v83,tokenizer_v03,toke,46,210,A-ERR,2
A-ERR-0043v15,tokenizer_v03,toke,42,193,A-ERR,2
A-ERR-0043v57,tokenizer_v03,toke,83,335,A-ERR,2
A-ERR-0044v5,tokenizer_v03,toke,160,644,A-ERR,2
A-ERR-0044v65,tokenizer_v03,toke,91,371,A-ERR,2
A-ERR-0045v30,tokenizer_v03,toke,84,418,A-ERR,2
A-ERR-0045v41,tokenizer_v03,toke,105,476,A-ERR,2
A-ERR-0045v58,tokenizer_v03,toke,52,267,A-ERR,2
A-ERR-0045v7,tokenizer_v03,toke,87,428,A-ERR,2
A-ERR-0046v33,tokenizer_v03,toke,90,405,A-ERR,1
A-ERR-0046v51,tokenizer_v03,toke,83,381,A-ERR,1
A-ERR-0046v72,tokenizer_v03,toke,95,378,A-ERR,1
A-ERR-0047v1,tokenizer_v03,toke,85,316,A-ERR,2
A-ERR-0047v86,tokenizer_v03,toke,56,232,A-ERR,2
A-ERR-0048v11,tokenizer_v03,toke,126,515,A-ERR,2
A-ERR-0048v22,tokenizer_v03,toke,89,303,A-ERR,2
A-ERR-0049v15,tokenizer_v03,toke,90,349,A-ERR,2
A-ERR-0049v39,tokenizer_v03,toke,76,287,A-ERR,2
A-ERR-0050v3,tokenizer_v03,toke,49,192,A-ERR,1
A-ERR-0050v9,tokenizer_v03,toke,71,309,A-ERR,1
A-ERR-0052v69,tokenizer_v03,toke,110,465,A-ERR,1
A-ERR-0053v50,tokenizer_v03,toke,71,320,A-ERR,1
A-ERR-0053v72,tokenizer_v03,toke,81,349,A-ERR,1
A-ERR-0053v87,tokenizer_v03,toke,76,335,A-ERR,1
A-ERR-0054v35,tokenizer_v03,toke,44,223,A-ERR,1
A-ERR-0054v46,tokenizer_v03,toke,85,400,A-ERR,1
A-ERR-0055v48,tokenizer_v03,toke,41,163,A-ERR,1
A-ERR-0055v53,tokenizer_v03,toke,41,163,A-ERR,1
A-ERR-0056v44,tokenizer_v03,toke,105,427,A-ERR,1
A-ERR-0057v27,tokenizer_v03,toke,86,393,A-ERR,1
A-ERR-0059v14,tokenizer_v03,toke,126,491,A-ERR,2
A-ERR-0059v20,tokenizer_v03,toke,120,424,A-ERR,2
A-ERR-0059v55,tokenizer_v03,toke,88,390,A-ERR,2
A-ERR-0060v18,tokenizer_v03,toke,88,395,A-ERR,2
A-ERR-0061v48,tokenizer_v03,toke,94,374,A-ERR,2
A-ERR-0062v22,tokenizer_v03,toke,94,454,A-ERR,2
A-ERR-0062v52,tokenizer_v03,toke,97,437,A-ERR,2
A-ERR-0064v3,tokenizer_v03,toke,105,437,A-ERR,3
A-ERR-0065v18,tokenizer_v03,toke,96,405,A-ERR,3
A-ERR-0065v3,tokenizer_v03,toke,120,512,A-ERR,3
A-ERR-0066v31,tokenizer_v03,toke,36,191,A-ERR,3
A-ERR-0067v62,tokenizer_v03,toke,112,452,A-ERR,2
A-ERR-0069v49,tokenizer_v03,toke,38,146,A-ERR,2
A-ERR-0071v56,tokenizer_v03,toke,117,601,A-ERR,2
A-ERR-0074v22,tokenizer_v03,toke,98,415,A-ERR,3
A-ERR-0074v23,tokenizer_v03,toke,108,434,A-ERR,3
A-ERR-0074v36,tokenizer_v03,toke,112,503,A-ERR,3
A-ERR-0074v49,tokenizer_v03,toke,60,246,A-ERR,3
A-ERR-0076v10,tokenizer_v03,toke,108,527,A-ERR,2
A-ERR-0076v45,tokenizer_v03,toke,108,505,A-ERR,2
A-ERR-0076v86,tokenizer_v03,toke,59,264,A-ERR,2
A-ERR-0077,tokenizer_v03,toke,144,527,A-ERR,2
A-ERR-0077v30,tokenizer_v03,toke,142,615,A-ERR,2
A-ERR-0078v10,tokenizer_v03,toke,76,369,A-ERR,2
A-ERR-0078v11,tokenizer_v03,toke,68,282,A-ERR,2
A-ERR-0078v33,tokenizer_v03,toke,66,313,A-ERR,2
A-ERR-0079v81,tokenizer_v03,toke,108,478,A-ERR,2
A-ERR-0080v37,tokenizer_v03,toke,114,446,A-ERR,3
A-ERR-0081,tokenizer_v03,toke,92,342,A-ERR,3
A-ERR-0081v17,tokenizer_v03,toke,105,461,A-ERR,3
A-ERR-0082v61,tokenizer_v03,toke,131,535,A-ERR,3
A-ERR-0083v25,tokenizer_v03,toke,135,483,A-ERR,3
A-ERR-0084v15,tokenizer_v03,toke,88,359,A-ERR,3
A-ERR-0085v2,tokenizer_v03,toke,107,420,A-ERR,3
A-ERR-0086v55,tokenizer_v03,toke,125,557,A-ERR,3
A-ERR-0088v75,tokenizer_v03,toke,126,544,A-ERR,3
A-ERR-0089v26,tokenizer_v03,toke,47,231,A-ERR,3
A-ERR-0089v40,tokenizer_v03,toke,124,562,A-ERR,3
A-ERR-0091v33,tokenizer_v03,toke,53,226,A-ERR,3
A-ERR-0092v26,tokenizer_v03,toke,158,636,A-ERR,2
A-ERR-0092v4,tokenizer_v03,toke,145,630,A-ERR,2
A-ERR-0093v7,tokenizer_v03,toke,91,425,A-ERR,3
A-ERR-0094v31,tokenizer_v03,toke,57,291,A-ERR,3
A-ERR-0095v19,tokenizer_v03,toke,81,364,A-ERR,3
A-MTH-0001v3,tokenizer_v03,toke,36,194,A-MTH,1
A-MTH-0002v3,tokenizer_v03,toke,17,126,A-MTH,1
A-MTH-0005v54,tokenizer_v03,toke,32,173,A-MTH,1
A-MTH-0005v69,tokenizer_v03,toke,62,274,A-MTH,1
A-MTH-0010v43,tokenizer_v03,toke,44,168,A-MTH,1
A-MTH-0010v60,tokenizer_v03,toke,94,368,A-MTH,1
A-MTH-0011v8,tokenizer_v03,toke,42,184,A-MTH,1
A-MTH-0017v11,tokenizer_v03,toke,28,133,A-MTH,1
A-MTH-0019v4,tokenizer_v03,toke,43,173,A-MTH,1
A-MTH-0019v7,tokenizer_v03,toke,41,161,A-MTH,1
A-MTH-0020,tokenizer_v03,toke,47,159,A-MTH,1
A-MTH-0023v36,tokenizer_v03,toke,54,246,A-MTH,1
